Car_Brand,Model,Engine_Type,Fuel_Efficiency,Safety_Rating,Driving_Condition,Temperature,Road_Type,Traffic_Level,Weather_Condition,Engine_Performance,Battery_Range,Braking_Performance,Emissions,Vehicle_Condition,Tire_Condition,Performance_Optimization,Scenario_Adaptability
Mercedes,GLE,Petrol,A+,4,Heavy Traffic,31,Highway,Low,Clear,379,,179,156,Well-maintained,Worn,Medium,3
BMW,3 Series,Electric,A,5,Urban,11,Highway,High,Clear,165,,152,249,Well-maintained,Worn,Medium,5
Toyota,Corolla,Electric,A+,5,Highway,31,Off-road terrain,Medium,Snowy,389,,111,259,Moderate wear,Flat,Low,2
Toyota,Corolla,Diesel,A+,4,Heavy Traffic,7,Off-road terrain,High,Snowy,202,,189,226,Moderate wear,New,High,2
Ford,Mustang,Petrol,D,5,Extreme Weather,27,Off-road terrain,High,Clear,227,,108,197,Poor,Flat,Medium,2
BMW,X5,Electric,E,4,Heavy Traffic,6,Off-road terrain,High,Snowy,295,,149,275,Well-maintained,New,Medium,10
Mercedes,GLE,Electric,C,4,Heavy Traffic,25,City streets,Medium,Rainy,438,,125,249,Poor,Worn,Low,7
Ford,F-150,Diesel,E,4,Extreme Weather,11,Highway,Medium,Rainy,335,,161,283,Poor,New,Medium,10
Hyundai,Kona EV,Diesel,B,4,Off-Road,4,Highway,Medium,Rainy,423,,180,259,Moderate wear,Worn,High,9
BMW,X5,Diesel,E,5,Heavy Traffic,-1,Off-road terrain,Medium,Rainy,200,,151,157,Well-maintained,Flat,Low,1
Ford,F-150,Diesel,C,4,Heavy Traffic,18,Off-road terrain,Low,Rainy,264,,147,162,Poor,Flat,Medium,1
Tesla,Model 3,Petrol,D,5,Heavy Traffic,5,City streets,High,Snowy,216,,168,173,Moderate wear,Flat,Medium,5
Tesla,Model S,Petrol,C,5,Heavy Traffic,27,Highway,Medium,Snowy,266,,123,188,Moderate wear,Worn,High,10
BMW,X5,Diesel,B,4,Off-Road,21,City streets,Medium,Clear,488,,169,232,Moderate wear,Worn,Medium,7
BMW,3 Series,Petrol,B,4,Heavy Traffic,7,Off-road terrain,Medium,Clear,373,,177,280,Well-maintained,Flat,Low,2
Hyundai,Sonata,Electric,D,4,Highway,-5,Off-road terrain,Low,Snowy,265,,151,288,Moderate wear,Worn,High,10
Mercedes,GLE,Petrol,B,4,Highway,34,Highway,Low,Rainy,155,,184,185,Poor,Worn,High,10
Ford,Mustang,Petrol,E,4,Heavy Traffic,20,Highway,High,Rainy,212,,163,283,Poor,Flat,High,3
Hyundai,Sonata,Petrol,C,4,Extreme Weather,8,Off-road terrain,High,Snowy,348,,175,281,Moderate wear,Flat,Low,10
Hyundai,Sonata,Petrol,C,5,Urban,3,Off-road terrain,Low,Clear,471,,174,157,Poor,Flat,High,2
Toyota,Corolla,Electric,E,4,Off-Road,33,City streets,High,Snowy,358,,136,286,Well-maintained,New,High,4
Mercedes,E-Class,Petrol,D,4,Urban,26,Highway,Low,Clear,179,,183,209,Well-maintained,New,Low,4
Toyota,Camry,Diesel,A+,5,Urban,19,Highway,High,Rainy,284,,112,192,Moderate wear,Worn,Medium,5
BMW,X5,Diesel,A+,5,Off-Road,23,Highway,Low,Rainy,421,,118,265,Moderate wear,New,Medium,8
BMW,X5,Diesel,D,4,Heavy Traffic,7,City streets,High,Rainy,235,,163,229,Moderate wear,Worn,Low,1
Mercedes,E-Class,Electric,A,4,Urban,3,Highway,Medium,Snowy,289,,170,196,Poor,New,Medium,5
Mercedes,E-Class,Diesel,C,4,Urban,33,City streets,Low,Clear,186,,107,226,Moderate wear,Worn,Low,6
Hyundai,Kona EV,Electric,B,4,Extreme Weather,5,City streets,Medium,Clear,253,,133,276,Well-maintained,Worn,Low,7
Mercedes,GLE,Diesel,D,4,Highway,7,Highway,Low,Snowy,431,,127,226,Well-maintained,Flat,Low,5
Ford,F-150,Petrol,B,4,Off-Road,14,Off-road terrain,Low,Rainy,315,,171,227,Poor,Flat,High,5
Toyota,Camry,Petrol,D,4,Urban,28,Off-road terrain,Low,Clear,197,,130,257,Poor,Worn,Low,7
Ford,Mustang,Electric,A++,5,Urban,11,City streets,Low,Clear,484,,155,217,Moderate wear,Worn,Low,10
Tesla,Model S,Electric,C,5,Highway,31,City streets,High,Rainy,487,,148,283,Moderate wear,New,Medium,7
Ford,F-150,Electric,D,5,Heavy Traffic,-4,Off-road terrain,High,Rainy,314,,170,247,Well-maintained,Worn,Low,7
Tesla,Model 3,Diesel,C,5,Extreme Weather,29,Off-road terrain,Medium,Snowy,405,,163,252,Moderate wear,New,Low,6
BMW,X5,Petrol,E,5,Urban,34,Off-road terrain,High,Rainy,186,,113,272,Moderate wear,New,High,6
BMW,X5,Electric,C,4,Off-Road,32,City streets,Low,Rainy,243,,109,285,Poor,Flat,High,7
BMW,X5,Petrol,D,5,Urban,27,Highway,High,Clear,218,,196,179,Well-maintained,New,Medium,10
Tesla,Model S,Electric,E,4,Heavy Traffic,10,City streets,High,Snowy,460,,119,183,Moderate wear,Worn,Low,1
Mercedes,E-Class,Petrol,B,4,Highway,9,City streets,Low,Snowy,363,,183,169,Poor,Flat,High,5
Ford,Mustang,Electric,E,5,Extreme Weather,28,Off-road terrain,High,Rainy,374,,101,229,Poor,Flat,Medium,6
Hyundai,Kona EV,Electric,C,4,Urban,33,City streets,High,Rainy,329,,196,223,Well-maintained,New,Low,2
Mercedes,E-Class,Diesel,E,4,Urban,17,City streets,High,Rainy,439,,132,230,Moderate wear,Flat,Low,9
Hyundai,Kona EV,Diesel,B,4,Urban,21,Highway,Low,Rainy,444,,185,256,Moderate wear,Worn,Low,2
Toyota,Corolla,Petrol,C,4,Extreme Weather,25,Off-road terrain,Medium,Clear,285,,154,290,Moderate wear,Worn,High,4
BMW,X5,Electric,B,4,Highway,18,City streets,Medium,Snowy,184,,116,248,Poor,Worn,Medium,8
Toyota,Camry,Diesel,E,4,Urban,3,City streets,Low,Rainy,243,,178,164,Poor,Worn,Low,7
Ford,Mustang,Diesel,E,5,Urban,29,Off-road terrain,High,Snowy,469,,194,254,Well-maintained,New,High,4
Mercedes,E-Class,Electric,B,5,Heavy Traffic,29,Off-road terrain,Medium,Snowy,393,,140,288,Poor,New,Low,8
Ford,Mustang,Electric,B,5,Heavy Traffic,14,City streets,Low,Rainy,228,,122,280,Well-maintained,Worn,High,2
Toyota,Corolla,Petrol,C,4,Off-Road,15,City streets,High,Rainy,272,,198,194,Well-maintained,Worn,High,7
BMW,3 Series,Electric,A,5,Heavy Traffic,19,Off-road terrain,Low,Snowy,351,,136,162,Moderate wear,New,High,10
Ford,Mustang,Electric,B,4,Urban,5,Off-road terrain,High,Rainy,162,,170,194,Moderate wear,Flat,High,9
Ford,Mustang,Diesel,A,5,Extreme Weather,-1,City streets,High,Rainy,454,,120,241,Poor,Flat,Medium,4
Toyota,Corolla,Petrol,A+,5,Urban,24,Highway,Medium,Clear,416,,130,160,Moderate wear,Worn,Low,7
BMW,X5,Diesel,E,5,Extreme Weather,5,Off-road terrain,High,Rainy,399,,165,227,Poor,Flat,High,10
BMW,3 Series,Petrol,D,4,Highway,34,Off-road terrain,Medium,Clear,257,,132,226,Moderate wear,Worn,Medium,10
BMW,X5,Petrol,C,5,Highway,15,Highway,Medium,Rainy,435,,101,260,Moderate wear,Worn,Low,6
Ford,Mustang,Petrol,D,4,Urban,28,Highway,Medium,Rainy,419,,130,261,Poor,Flat,High,9
Tesla,Model S,Diesel,E,5,Highway,24,Off-road terrain,High,Rainy,310,,132,187,Moderate wear,Worn,Low,1
Hyundai,Sonata,Electric,B,5,Extreme Weather,-4,City streets,Medium,Snowy,407,,116,159,Well-maintained,Flat,Medium,5
Mercedes,E-Class,Petrol,D,5,Extreme Weather,12,City streets,Medium,Snowy,456,,140,173,Well-maintained,Flat,High,2
Tesla,Model S,Diesel,E,4,Highway,33,City streets,Low,Snowy,393,,167,185,Moderate wear,Flat,Low,6
Tesla,Model S,Diesel,D,5,Off-Road,32,City streets,High,Rainy,263,,103,217,Well-maintained,New,Low,2
Hyundai,Kona EV,Diesel,E,4,Off-Road,10,Highway,Medium,Snowy,461,,107,176,Moderate wear,New,High,6
Ford,Mustang,Electric,C,4,Off-Road,4,Highway,Medium,Clear,459,,128,286,Moderate wear,New,Low,8
Hyundai,Sonata,Electric,A+,4,Urban,13,Highway,High,Snowy,495,,180,168,Well-maintained,Flat,Low,7
Mercedes,E-Class,Diesel,C,5,Off-Road,2,Highway,Medium,Clear,303,,117,200,Well-maintained,Flat,Low,10
Ford,F-150,Petrol,A++,5,Off-Road,17,Off-road terrain,Low,Rainy,382,,154,212,Well-maintained,Flat,High,7
Toyota,Corolla,Diesel,E,4,Heavy Traffic,34,Off-road terrain,Medium,Clear,345,,174,213,Poor,Worn,High,5
Hyundai,Sonata,Electric,D,4,Extreme Weather,32,City streets,Low,Rainy,295,,156,209,Well-maintained,New,Medium,3
Mercedes,E-Class,Electric,D,5,Urban,13,Highway,High,Rainy,176,,145,182,Poor,Flat,Low,6
Hyundai,Sonata,Petrol,C,5,Urban,16,Highway,Medium,Clear,400,,137,285,Moderate wear,Flat,Medium,4
Toyota,Camry,Petrol,E,5,Urban,11,City streets,Medium,Rainy,380,,193,217,Poor,Worn,High,6
Mercedes,E-Class,Diesel,C,4,Extreme Weather,3,Highway,Low,Rainy,199,,178,247,Poor,Worn,Low,7
Mercedes,E-Class,Petrol,A++,5,Off-Road,22,City streets,Medium,Snowy,345,,177,239,Well-maintained,Worn,Medium,2
Hyundai,Sonata,Diesel,E,4,Heavy Traffic,21,Off-road terrain,Low,Clear,196,,142,199,Well-maintained,Worn,Medium,6
Toyota,Camry,Diesel,C,5,Off-Road,33,Off-road terrain,Medium,Clear,398,,106,250,Poor,Worn,High,10
Hyundai,Kona EV,Petrol,D,4,Highway,7,Off-road terrain,Low,Rainy,325,,173,267,Poor,New,Low,8
BMW,X5,Electric,B,5,Extreme Weather,7,Off-road terrain,Medium,Snowy,491,,197,157,Moderate wear,Worn,Medium,2
Tesla,Model 3,Electric,E,5,Heavy Traffic,20,Highway,High,Clear,166,,170,197,Poor,Worn,Low,1
Ford,F-150,Diesel,C,4,Off-Road,20,Highway,Medium,Clear,430,,199,181,Well-maintained,Worn,Medium,10
Tesla,Model 3,Electric,B,5,Highway,27,Off-road terrain,Low,Clear,448,,188,162,Poor,New,High,4
Toyota,Camry,Diesel,D,4,Heavy Traffic,15,City streets,Medium,Snowy,351,,173,294,Well-maintained,Worn,High,5
Toyota,Camry,Petrol,E,4,Heavy Traffic,13,Off-road terrain,Low,Clear,186,,169,279,Moderate wear,New,Low,3
Hyundai,Kona EV,Diesel,D,5,Heavy Traffic,23,Off-road terrain,Low,Clear,352,,124,191,Poor,New,Medium,9
Mercedes,GLE,Petrol,B,4,Heavy Traffic,33,Highway,Low,Snowy,219,,131,160,Poor,Flat,Low,2
BMW,X5,Petrol,D,5,Off-Road,31,Highway,High,Rainy,245,,198,266,Moderate wear,Worn,Medium,9
Ford,Mustang,Electric,A,5,Urban,13,Highway,High,Clear,152,,136,165,Poor,Worn,Medium,1
Tesla,Model S,Electric,D,4,Extreme Weather,8,Off-road terrain,Medium,Snowy,163,,104,154,Well-maintained,New,Low,3
Hyundai,Kona EV,Petrol,C,4,Urban,12,Off-road terrain,Medium,Clear,227,,155,199,Poor,New,Medium,10
Mercedes,E-Class,Petrol,B,5,Off-Road,8,City streets,High,Snowy,242,,198,187,Poor,Flat,Medium,10
Mercedes,E-Class,Electric,D,4,Highway,27,City streets,Low,Rainy,487,,118,206,Moderate wear,Flat,High,9
BMW,X5,Petrol,B,5,Heavy Traffic,8,City streets,High,Clear,264,,143,231,Moderate wear,Worn,Medium,2
BMW,3 Series,Diesel,B,5,Heavy Traffic,27,Highway,High,Clear,249,,160,204,Well-maintained,Flat,High,6
BMW,3 Series,Diesel,D,4,Highway,5,Off-road terrain,Medium,Clear,326,,101,160,Poor,Worn,Low,9
BMW,3 Series,Electric,E,5,Urban,4,Highway,Medium,Snowy,377,,165,226,Moderate wear,Flat,Medium,10
Ford,Mustang,Diesel,A++,5,Extreme Weather,13,City streets,Medium,Rainy,399,,151,227,Moderate wear,Worn,High,10
Hyundai,Sonata,Electric,D,5,Extreme Weather,0,City streets,High,Snowy,414,,114,254,Poor,Flat,Low,3
Toyota,Camry,Electric,E,5,Urban,17,Off-road terrain,Medium,Rainy,295,,124,297,Moderate wear,Worn,Low,7
Ford,F-150,Diesel,E,5,Extreme Weather,17,Off-road terrain,Low,Clear,490,,152,217,Well-maintained,Worn,Low,1
Tesla,Model S,Petrol,D,4,Highway,14,Off-road terrain,Medium,Rainy,201,,162,269,Poor,New,High,1
Hyundai,Sonata,Petrol,A+,5,Urban,4,Highway,Low,Rainy,154,,133,294,Moderate wear,New,Low,5
Ford,Mustang,Petrol,E,4,Urban,21,City streets,Low,Clear,232,,165,163,Poor,New,Medium,3
Mercedes,E-Class,Electric,B,4,Urban,34,Off-road terrain,Medium,Clear,172,,106,291,Moderate wear,New,Low,4
Hyundai,Kona EV,Electric,E,5,Extreme Weather,29,Off-road terrain,Low,Rainy,479,,196,229,Well-maintained,Flat,High,8
BMW,X5,Petrol,D,4,Heavy Traffic,15,Off-road terrain,Low,Clear,394,,105,225,Moderate wear,Worn,Low,10
Hyundai,Kona EV,Diesel,A+,4,Extreme Weather,17,Highway,Medium,Clear,262,,129,227,Moderate wear,New,Medium,7
Toyota,Corolla,Electric,D,5,Extreme Weather,26,Off-road terrain,Low,Snowy,391,,144,236,Moderate wear,Worn,Medium,1
Mercedes,E-Class,Petrol,D,5,Highway,4,Highway,Medium,Snowy,393,,194,267,Poor,Worn,Low,9
BMW,X5,Electric,C,4,Highway,16,Off-road terrain,Low,Snowy,453,,103,285,Moderate wear,Flat,Low,5
Ford,Mustang,Petrol,A++,4,Highway,-1,Off-road terrain,Medium,Clear,498,,127,203,Moderate wear,Worn,High,7
Mercedes,E-Class,Petrol,B,4,Urban,25,Off-road terrain,Low,Clear,239,,186,204,Poor,Worn,Low,10
Tesla,Model S,Petrol,A+,5,Urban,31,Off-road terrain,High,Snowy,231,,198,216,Poor,Flat,High,6
Tesla,Model S,Diesel,A,4,Heavy Traffic,5,Off-road terrain,Low,Snowy,358,,138,276,Well-maintained,Flat,High,3
Toyota,Corolla,Electric,E,4,Extreme Weather,21,City streets,Medium,Snowy,179,,138,162,Poor,Flat,Low,7
Tesla,Model S,Electric,D,4,Extreme Weather,14,Highway,Low,Snowy,437,,125,297,Poor,Worn,Medium,5
Mercedes,GLE,Diesel,D,5,Heavy Traffic,3,City streets,High,Snowy,203,,164,281,Moderate wear,Flat,High,10
Toyota,Camry,Diesel,B,5,Extreme Weather,2,Off-road terrain,Low,Snowy,445,,126,254,Well-maintained,Flat,High,1
Ford,F-150,Petrol,A+,5,Highway,28,Highway,High,Snowy,208,,102,227,Moderate wear,New,High,1
BMW,3 Series,Electric,D,5,Highway,21,Highway,Medium,Rainy,481,,121,161,Poor,New,Low,9
Mercedes,E-Class,Diesel,D,4,Heavy Traffic,9,Off-road terrain,High,Clear,364,,178,252,Moderate wear,Flat,Medium,3
Tesla,Model S,Petrol,D,5,Urban,2,Highway,Medium,Rainy,447,,136,289,Moderate wear,Worn,High,4
Ford,Mustang,Electric,E,4,Highway,13,Highway,Low,Rainy,365,,160,180,Well-maintained,Worn,High,6
BMW,X5,Electric,A++,5,Highway,34,City streets,High,Snowy,167,,140,292,Well-maintained,Flat,High,7
Toyota,Camry,Diesel,B,4,Highway,8,City streets,Low,Rainy,258,,123,156,Poor,Worn,Low,5
Ford,F-150,Diesel,E,4,Off-Road,-2,Off-road terrain,Low,Rainy,339,,159,233,Moderate wear,New,High,6
Ford,Mustang,Petrol,A++,5,Extreme Weather,33,Off-road terrain,Low,Rainy,301,,102,238,Moderate wear,New,Low,7
Toyota,Corolla,Diesel,A++,4,Extreme Weather,25,City streets,High,Rainy,181,,108,244,Poor,New,Medium,6
Tesla,Model 3,Petrol,B,5,Extreme Weather,7,Highway,Low,Snowy,220,,127,162,Poor,Flat,High,8
BMW,X5,Diesel,B,4,Highway,23,Off-road terrain,Low,Snowy,170,,142,225,Well-maintained,Worn,Medium,5
Toyota,Corolla,Electric,D,4,Off-Road,27,Highway,Low,Snowy,428,,142,151,Well-maintained,Worn,Low,7
BMW,X5,Diesel,B,5,Heavy Traffic,10,Off-road terrain,Medium,Clear,342,,181,164,Moderate wear,Worn,Medium,3
Hyundai,Kona EV,Electric,D,4,Extreme Weather,20,City streets,High,Rainy,335,,111,265,Well-maintained,Flat,Medium,1
Toyota,Corolla,Electric,A++,5,Extreme Weather,14,Off-road terrain,Low,Rainy,254,,118,207,Well-maintained,Worn,High,7
Mercedes,GLE,Electric,E,4,Highway,33,Off-road terrain,Medium,Snowy,399,,156,201,Moderate wear,Worn,Low,7
Mercedes,E-Class,Electric,A,4,Highway,30,Off-road terrain,Low,Snowy,299,,171,262,Poor,Worn,High,6
Mercedes,GLE,Electric,E,5,Urban,30,Off-road terrain,Low,Snowy,392,,185,152,Moderate wear,Worn,Medium,9
Tesla,Model 3,Electric,D,5,Highway,19,Off-road terrain,Medium,Snowy,195,,176,181,Moderate wear,Worn,Low,6
Toyota,Camry,Petrol,D,4,Heavy Traffic,11,City streets,Medium,Clear,333,,162,223,Well-maintained,Worn,High,10
Tesla,Model 3,Diesel,A,5,Heavy Traffic,11,Highway,High,Snowy,382,,114,298,Moderate wear,New,High,10
Hyundai,Sonata,Electric,E,5,Extreme Weather,7,City streets,High,Clear,334,,116,163,Poor,Worn,High,2
Ford,Mustang,Petrol,C,4,Urban,19,City streets,High,Rainy,462,,136,186,Well-maintained,Flat,High,3
BMW,X5,Diesel,A+,4,Off-Road,1,Highway,Medium,Snowy,499,,197,281,Moderate wear,Worn,High,2
Tesla,Model S,Petrol,E,4,Heavy Traffic,23,City streets,Medium,Clear,233,,173,167,Well-maintained,Flat,Low,10
Toyota,Camry,Electric,A,5,Off-Road,15,City streets,Medium,Rainy,424,,103,265,Well-maintained,Worn,Low,3
Toyota,Corolla,Petrol,E,4,Off-Road,33,Off-road terrain,Low,Clear,450,,131,246,Moderate wear,Worn,Low,6
Ford,F-150,Electric,B,5,Extreme Weather,2,Off-road terrain,Low,Clear,294,,117,292,Poor,New,Medium,2
Tesla,Model 3,Petrol,C,4,Highway,20,Highway,High,Rainy,390,,119,241,Well-maintained,New,High,1
Toyota,Camry,Electric,D,5,Off-Road,26,Off-road terrain,High,Snowy,407,,189,294,Moderate wear,Flat,High,4
Hyundai,Sonata,Electric,D,4,Heavy Traffic,0,Off-road terrain,High,Snowy,451,,143,157,Well-maintained,New,High,4
Hyundai,Sonata,Electric,D,5,Extreme Weather,20,Off-road terrain,Medium,Snowy,171,,138,207,Moderate wear,Worn,Low,10
Mercedes,E-Class,Petrol,C,4,Highway,26,City streets,Medium,Clear,484,,147,189,Poor,Flat,Medium,9
Mercedes,GLE,Diesel,A++,4,Extreme Weather,8,Off-road terrain,Medium,Snowy,238,,160,275,Poor,Flat,Medium,5
Hyundai,Kona EV,Petrol,E,4,Extreme Weather,19,Off-road terrain,High,Snowy,277,,180,153,Poor,Worn,High,7
Toyota,Corolla,Diesel,A++,4,Extreme Weather,15,Off-road terrain,High,Clear,460,,108,298,Poor,Flat,Medium,8
Tesla,Model 3,Petrol,C,4,Heavy Traffic,13,Off-road terrain,High,Clear,457,,185,269,Well-maintained,Flat,Medium,10
Ford,Mustang,Petrol,E,5,Off-Road,17,Highway,Medium,Snowy,236,,152,281,Poor,New,Low,8
Ford,F-150,Electric,C,4,Urban,-1,Highway,Medium,Clear,308,,173,175,Well-maintained,New,Medium,4
BMW,X5,Petrol,D,4,Urban,16,Highway,Low,Snowy,293,,134,152,Moderate wear,New,Medium,5
Mercedes,E-Class,Petrol,D,4,Urban,18,City streets,Low,Snowy,198,,165,174,Poor,New,Medium,9
Mercedes,GLE,Petrol,A,4,Heavy Traffic,14,Off-road terrain,Medium,Clear,210,,127,152,Poor,Flat,Low,2
Mercedes,GLE,Diesel,E,4,Highway,14,Off-road terrain,High,Rainy,342,,114,270,Moderate wear,New,Low,1
Hyundai,Kona EV,Petrol,E,5,Highway,17,Off-road terrain,Low,Rainy,443,,139,231,Poor,Worn,Medium,2
Tesla,Model 3,Electric,E,4,Off-Road,-5,Off-road terrain,Low,Rainy,176,,111,179,Well-maintained,Flat,Low,3
Hyundai,Kona EV,Electric,D,4,Off-Road,34,Highway,High,Clear,339,,109,195,Well-maintained,Worn,Medium,6
Ford,Mustang,Diesel,B,5,Heavy Traffic,12,Off-road terrain,High,Snowy,487,,144,235,Well-maintained,Flat,Medium,2
Toyota,Corolla,Electric,B,5,Highway,18,Highway,High,Clear,310,,120,202,Moderate wear,Worn,High,10
